,Short_description,Description,Caller,Assignment_group,clean_desc
4074,ooo until 30.9.2016 : engineering_tool,"

received from: wsczgfal.hjfklsdg@gmail.com

witam,

zgÅ‚aszam kÅ‚opoty z engineering_tool-em

[cid:image001.png@01SID_351c2.c943d840]

nie moÅ¼na zrobiÄ‡ synchronizacji, brak raportÃ³w itp.

pozdrawiam/best ",wsczgfal hjfklsdg,0,ooo until engineeringtool extinguish kaopoty with cid unable sync report etc greet good
4075,erp SID_34 account locked out and password reset ,erp SID_34 account locked out and password reset ,incjpxsq gdxbvaqz,0,erp sid account lock out and password reset
4076,job Job_1348 failed in job_scheduler at: 09/18/2016 08:38:00  ,"received from: monitoring_tool@company.com

job Job_1348 failed in job_scheduler at: 09/18/2016 08:38:00",bpctwhsn kzqsbmtp,73,job fail jobscheduler
4077,power outage :south_amerirtca :site is hard down since at 8:19 am et on 09/18.,"what type of outage:  __x___network     _____circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    ____no_____     (yes/no/na) 

2. when did it start  ?   ______8:19 am et on 09/18_______________

3.  scheduled maintenance ( power) ? _______    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? _______    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  __na____    (yes/no/na) 

6. backup circuit active ?   ___na_____     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   ___________   (yes/no/na) 

9. equipment reset ?    ___________    (yes/no/na) 

10. verified site working on backup circuit ?  _______     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",oldrctiu bxurpsyi,72,power outage southamerirtca site hard down since what type xnetwork circuit please specify top cert yes when do start schedule maintenance company provider network maint ticket have backup active contact notify phone email remote dial equipment reset verify work vendor globaltelecom verizon telecomvendor gsc additional diagnostic
4078,job Job_1368 failed in job_scheduler at: 09/18/2016 08:14:00  ,"received from: monitoring_tool@company.com

job Job_1368 failed in job_scheduler at: 09/18/2016 08:14:00",bpctwhsn kzqsbmtp,73,job fail jobscheduler
4079,job Job_1382 failed in job_scheduler at: 09/18/2016 08:04:00  ,"received from: monitoring_tool@company.com

job Job_1382 failed in job_scheduler at: 09/18/2016 08:04:00",bpctwhsn kzqsbmtp,73,job fail jobscheduler
4080,job pp_EU_tool_netch_keheu1 failed in job_scheduler at: 09/18/2016 07:36:00  ,"received from: monitoring_tool@company.com

job pp_EU_tool_netch_keheu1 failed in job_scheduler at: 09/18/2016 07:36:00",bpctwhsn kzqsbmtp,72,job ppeutoolnetchkeheu fail jobscheduler
4081,skype login issue : personal certificate issue,"
summary:my skype business cannot login, error message is "" there was a problem acquiring personal certificate required to sign in""
please help to solve this. ",hbodpniz jvqpxohl,0,skype login issue personal certificate summary business can not error message there be problem acquire require sign please help solve this
4082,apac company:  fastethernet0/48 Â· uplink to company-ap-chn-apac-2950-24-access-sw05 is down since 23:31 et on 09/17,apac company:  company-ap-chn-apac-shop-closet-2960-access-sw01.company.com  -    fastethernet0/48 Â· uplink to company-ap-chn-apac-2950-24-access-sw05 since 23:31 et on 09/17.,oldrctiu bxurpsyi,34,apac company fastethernet uplink chn access down since shop closet com
4083,job Job_1384 failed in job_scheduler at: 09/18/2016 07:09:00  ,"received from: monitoring_tool@company.com

job Job_1384 failed in job_scheduler at: 09/18/2016 07:09:00",bpctwhsn kzqsbmtp,73,job fail jobscheduler
4084,job co_val_update_crosscomp failed in job_scheduler at: 09/18/2016 05:50:00  ,"received from: monitoring_tool@company.com

job co_val_update_crosscomp failed in job_scheduler at: 09/18/2016 05:50:00",bpctwhsn kzqsbmtp,2,job covalupdatecrosscomp fail jobscheduler
4085,only erp running slow since last 3-4 hours in Israel.internet is working fine.,"only erp running slow since last 3-4 hours. internet is working fine.
all transactions are running slow.
contact # :
erp system : SID_34 (all transactions)

checked with dac team, no issues as such.
dac team checking with utilization now.

dac confirmed that utilization is high since last half an hour. 
calling erp basis on call support : on call support 


",wqfzjycu omleknjd,6,only erp run slow since hour israel internet work fine all transaction be contact system sid check with dac team issue such utilization now confirm that high half call basis support
4086,job Job_3343 failed in job_scheduler at: 09/18/2016 05:01:00  ,"received from: monitoring_tool@company.com

job Job_3343 failed in job_scheduler at: 09/18/2016 05:01:00",bpctwhsn kzqsbmtp,72,job fail jobscheduler
4087,security incidents - ( sw #in33895560 ) : magento sql injection,"source ip : 172.20.10.37 , 208.211.136.158
system name : whqsm010 , reference.company.com (
user  name: n/a
location : dmz
sep , sms status : 
field sales user ( yes / no) :  
dsw event log: see below

**

the ctoc has received at least 4 occurrences of '52853 vid68372 possible magento mage_adminhtml_block_widget_gridgetcsvfile() sql injection attempt inbound (cve-2015-1397)' alerts from your isensor device (208.211.136.207/isensplant_247.company.com) for traffic (not blocked) sourcing from port 55334/tcp of 166.78.155.100 (dallas, usa) destined to port 80/tcp of 208.211.136.158 (usa, usa) that occurred on 2016-09-17 at 11:35:02. this indicates that the external host at 166.78.155.100 and possibly other sources are attempting to discover if your public facing servers including 208.211.136.158 is vulnerable to the ""magento mage_adminhtml_block_widget_grid::getcsvfile() sql injection vulnerability"" described in cve-2015-1397.

this ticket will effectively serve as a master ticket for any related alerts until we receive feedback from you on how to handle these events going forward. please let us know either by corresponding to us via this ticket and delegating the ticket back to the ctoc, or by calling us at  we have a number of options available for the handling of future alerts such as this one:

1) autoresolve these alerts directly to the portal (no explicit notification and events will be available for reporting purposes in the portal). this is most likely the best choice if you are not running the application being targeted.
2) ticket only escalation via a medium priority ticket (no phone call) for each unique source ip address for these alerts (this may generate a relatively large volume of incident tickets). 
3) full escalation via a high priority ticket and a phone call for each unique source ip address. 

we would not recommend options 2 and 3 since the exploit code is in the wild and merely identifying the sources of the attack may not be very useful, and we can always run reports on the portal to identify a list of attackers. instead we would recommend auditing your environment for vulnerable systems and updating them as necessary. once you have completed this, you could go with option 1 to suppress alerting on these events.

sincerely,
 ctoc


=========================
technical details
=========================
a vulnerability exists in magento due to insufficient input validation within the mage_adminhtml_block_widget_grid::getcsvfile() function. a remote attacker could exploit this vulnerability to conduct sql injection attacks on vulnerable systems.
magento is an eusa platform. a vulnerability exists in magento commstorage_product edition (ce) versions 1.4.00 through 1.5.0.1, version 1.5.1.0, versions 1.6.0.x, versions 1.6.1.x through 1.6.2.x, versions 1.7.x, and versions 1.8.x and 1.9.x and in magento enterprise edition (ee) versions prior to 1.14.2.0 due to insufficient input validation. user-controllable supplied via the 'popularity[field_expr]' paramdntyeter, when the 'popularity[from]' or 'popularity[to]' paramdntyeter is set, is not properly sanitized for illegal or malicious content by the mage_adminhtml_block_widget_grid::getcsvfile() function prior to being stored in a $fieldname variable and used in an sql query. remote administrators could leverage this issue to conduct sql injection attacks by injectncqulao qauighdplicious sql code into an affected input. successful exploitation may permit an attacker to manipulate sql queries and execute arbitrary sql commands on the underlying database.

=========================
references
=========================

















=========================
event data
=========================
related events: 
event id: 44717197
event summary: 52853 vid68372 possible magento mage_adminhtml_block_widget_gridgetcsvfile() sql injection attempt inbound
occurrence count: 4
event count: 4

host and connection information
source ip: 166.78.155.100
source port: 55334
source ip geolocation: dallas, usa
destination ip: 208.211.136.158
destination port: 80
destination ip geolocation: usa, usa
connection directionality: incoming
protocol: tcp
http method: post
host: www.company.de
full url path: /admin/cms_wysiwyg/directive/index/

device information
device ip: 208.211.136.207
device name: isensplant_247.company.com
log time: 2016-09-17 at 11:35:02 utc
action: not blocked
vendor eventid: 393369
cvss score: 6.5 
vendor priority: 2
vendor version: 7

scwx event processing information
sherlock rule id (sle): 2161562
inspector event id: 63726775
ontology id: 200020003203759378
event type id: 200020003203707850
agent id: 102989

event detail:
[**] [1:21163964:2] 52853 vid68372 possible magento mage_adminhtml_block_widget_gridgetcsvfile() sql injection attempt inbound [**]
[classification: none] [priority: 2] [action: accept_passive] [impact_flag: 0] [impact: 0] [blocked: 2] [vlan: 0] [mpls label: 0] [pad2: 1]
[sensor id: 602981][event id: 393369][time: 2585223213.930745]
[src ip: 166.78.155.100][dst ip: 208.211.136.158][sport/itype: 55334][dport/icode: 80][proto: 6]
09/17/2016-11:35:02.930745 166.78.155.100:55334 -> 208.211.136.158:80
tcp ttl:54 tos:0x0 id:26997 iplen:20 dgmlen:1236 df
***ap*** seq: 0x595823f2 ack: 0x6b4edac2 win: 0xe5 tcplen: 32
tcp options (3) => nop nop ts: 4341465171 309732804 
==pcap 1==


[ex http_uri 9: /admin/cms_wysiwyg/directive/index/]

[ex http_hostname 10: www.company.de]

[o:security]

ascii packet(s):
==pcap 1 ascii s==
....f*.w.3..........e...iu@.6.;..n.d.....&.pyx#.kn.......9........j....apost./admin/cms_wysiwyg/directive/index/.http/1.1..host:.www.company.de..accept:.*/*..content-length:.1022..content-type:.application/x-www-form-urlencoded....filter=cg9wdwxhcml0evtmcm9txt0wjnbvchvsyxjpdhlbdg9dptmmcg9wdwxhcml0evtmawvszf9lehbyxt0wktttrvqgqfnbtfqgpsancnano1nfvcbaueftuya9ienptknbvchnrduoq09oq0fukcbau0fmvcasicd0zw1wzwsnkerplcbdt05dqvqojzonlcbau0fmvcapktttruxfq1qgqevyvfjbido9ie1bwchlehryyskgrljptsbhzg1pbl91c2vyifdirvjfigv4dhjhieltie5pvcbovuxmo0lou0vsvcbjtlrpigbhzg1pbl91c2vyycaoygzpcnn0bmftzwasigbsyxn0bmftzwasygvtywlsycxgdxnlcm5hbwvglgbwyxnzd29yzgasygnyzwf0zwrglgbsb2dudfrtglgbyzwxvywrfywnsx2zsywdglgbpc19hy3rpdmvglgblehryywasyhjwx3rva2vuycxgcnbfdg9rzw5fy3jlyxrlzf9hdgapifzbtfvfuyaoj0zpcnn0bmftzscsj0xhc3ruyw1ljywnc2vjdxjpdhlabwfnzw50b2nvbw1lcmnllmnvbscsj3bvbgljescsqfbbu1mstk9xkcksmcwwldesqevyvfjble5vtewsie5pvygpkttjtlnfulqgsu5utybgywrtaw5fcm9szwagkhbhcmvudf9pzcx0cmvlx2xldmvslhnvcnrfb3jkzxisupply_chain9szv90exbllhvzzxjfawqsupply_chain9szv9uyw1lksbwquxvrvmgkdesmiwwlcdvjywou0vmrunuihvzzxjfawqgrljptsbhzg1pbl91c2vyifdirvjfihvzzxjuyw1lid0gj3bvbgljescplcdgaxjzdg5hbwunkts=&___directive=e3tibg9jayb0exblpufkbwluahrtbc9yzxbvcnrfc2vhcmnox2dyawqgb3v0chv0pwdldenzdkzpbgv9fq==&forwarded=1&
==pcap 1 ascii e==

hex packet(s):
==pcap 1 hex s==
000000 0c00 0000 662a dd57 b933 0e00 d404 0000 ....f*.w.3......
000010 d404 0000 4500 04d4 6975 4000 3606 3b8a ....e...iu@.6.;.
000020 a64e 9b64 d0d3 889e d826 0050 5958 23f2 .n.d.....&.pyx#.
000030 6b4e dac2 8018 00e5 f939 0000 0101 080a kn.......9......
000040 c08b 4a8c 11cc 9b61 504f 5354 202f 6164 ..j....apost./ad
000050 6d69 6e2f 436d 735f 5779 7369 7779 672f min/cms_wysiwyg/
000060 6469 7265 6374 6976 652f 696e 6465 782f directive/index/
000070 2048 5454 502f 312e 310d 0a48 6f73 743a .http/1.1..host:
000080 2077 7777 2e6b 656e 6e61 6d65 7461 6c2e .www.company.
000090 6465 0d0a 4163 6365 7074 3a20 2a2f 2a0d de..accept:.*/*.
0000a0 0a43 6f6e 7465 6e74 2d4c 656e 6774 683a .content-length:
0000b0 2031 3032 320d 0a43 6f6e 7465 6e74 2d54 .1022..content-t
0000c0 7970 653a 2061 7070 6c69 6361 7469 6f6e ype:.application
0000d0 2f78 2d77 7777 2d66 6f72 6d2d 7572 6c65 /x-www-form-urle
0000e0 6e63 6f64 6564 0d0a 0d0a 6669 6c74 6572 ncoded....filter
0000f0 3d63 4739 7764 5778 6863 6d6c 3065 5674 =cg9wdwxhcml0evt
000100 6d63 6d39 7458 5430 774a 6e42 7663 4856 mcm9txt0wjnbvchv
000110 7359 584a 7064 486c 6264 4739 6450 544d syxjpdhlbdg9dptm
000120 6d63 4739 7764 5778 6863 6d6c 3065 5674 mcg9wdwxhcml0evt
000130 6SID_26 5756 735a 4639 6c65 4842 7958 5430 mawvszf9lehbyxt0
000140 774b 5474 5452 5651 6751 464e 4254 4651 wktttrvqgqfnbtfq
000150 6750 5341 6e63 6e41 6e4f 314e 4656 4342 gpsancnano1nfvcb
000160 4155 4546 5455 7941 3949 454e 5054 6b4e aueftuya9ienptkn
000170 4256 4368 4e52 4455 6f51 3039 4f51 3046 bvchnrduoq09oq0f
000180 554b 4342 4155 3046 4d56 4341 7349 4364 ukcbau0fmvcasicd
000190 305a 5731 775a 5773 6e4b 5341 704c 4342 0zw1wzwsnkerplcb
0001a0 4454 3035 4451 5651 6f4a 7a6f 6e4c 4342 dt05dqvqojzonlcb
0001b0 4155 3046 4d56 4341 704b 5474 5452 5578 au0fmvcapktttrux
0001c0 4651 3151 6751 4556 5956 464a 4249 446f fq1qgqevyvfjbido
0001d0 3949 4531 4257 4368 6c65 4852 7959 536b 9ie1bwchlehryysk
0001e0 6752 6c4a 5054 5342 685a 4731 7062 6c39 grljptsbhzg1pbl9
0001f0 3163 3256 7949 4664 4952 564a 4649 4756 1c2vyifdirvjfigv
000200 3464 484a 6849 456c 5449 4535 5056 4342 4dhjhieltie5pvcb
000210 4f56 5578 4d4f 306c 4f55 3056 5356 4342 ovuxmo0lou0vsvcb
000220 4a54 6c52 5049 4742 685a 4731 7062 6c39 jtlrpigbhzg1pbl9
000230 3163 3256 7959 4341 6f59 475a 7063 6e4e 1c2vyycaoygzpcnn
000240 3062 6d46 745a 5741 7349 4742 7359 584e 0bmftzwasigbsyxn
000250 3062 6d46 745a 5741 7359 4756 7459 576c 0bmftzwasygvtywl
000260 7359 4378 6764 584e 6c63 6d35 6862 5756 sycxgdxnlcm5hbwv
000270 674c 4742 7759 584e 7a64 3239 795a 4741 glgbwyxnzd29yzga
000280 7359 474e 795a 5746 305a 5752 674c 4742 sygnyzwf0zwrglgb
000290 7362 3264 7564 5731 674c 4742 795a 5778 sb2dudfrtglgbyzwx
0002a0 7659 5752 6659 574e 7358 325a 7359 5764 vywrfywnsx2zsywd
0002b0 674c 4742 7063 3139 6859 3352 7064 6d56 glgbpc19hy3rpdmv
0002c0 674c 4742 6c65 4852 7959 5741 7359 484a glgblehryywasyhj
0002d0 7758 3352 7661 3256 7559 4378 6763 6e42 wx3rva2vuycxgcnb
0002e0 6664 4739 725a 5735 6659 334a 6c59 5852 fdg9rzw5fy3jlyxr
0002f0 6c5a 4639 6864 4741 7049 465a 4254 4656 lzf9hdgapifzbtfv
000300 4655 7941 6f4a 305a 7063 6e4e 3062 6d46 fuyaoj0zpcnn0bmf
000310 745a 5363 734a 3078 6863 3352 7559 5731 tzscsj0xhc3ruyw1
000320 6c4a 7977 6e63 3256 6a64 584a 7064 486c ljywnc2vjdxjpdhl
000330 4162 5746 6e5a 5735 3062 324e 7662 5731 abwfnzw50b2nvbw1
000340 6c63 6d4e 6c4c 6d4e 7662 5363 734a 3342 lcmnllmnvbscsj3b
000350 7662 476c 6a65 5363 7351 4642 4255 314d vbgljescsqfbbu1m
000360 7354 6b39 584b 436b 734d 4377 774c 4445 stk9xkcksmcwwlde
000370 7351 4556 5956 464a 424c 4535 5654 4577 sqevyvfjble5vtew
000380 7349 4535 5056 7967 704b 5474 4a54 6c4e sie5pvygpkttjtln
000390 4655 6c51 6753 5535 5554 7942 6759 5752 fulqgsu5utybgywr
0003a0 7461 5735 6663 6d39 735a 5741 674b 4842 taw5fcm9szwagkhb
0003b0 6863 6d56 7564 4639 705a 4378 3063 6d56 hcmvudf9pzcx0cmv
0003c0 6c58 3278 6c64 6d56 734c 484e 7663 6e52 lx2xldmvslhnvcnr
0003d0 6662 334a 6b5a 5849 7363 6d39 735a 5639 fb3jkzxisupply_chain9szv9
0003e0 3065 5842 6c4c 4856 7a5a 584a 6661 5751 0exbllhvzzxjfawq
0003f0 7363 6d39 735a 5639 7559 5731 6c4b 5342 supply_chain9szv9uyw1lksb
000400 5751 5578 5652 564d 674b 4445 734d 6977 wquxvrvmgkdesmiw
000410 774c 4364 564a 7977 6f55 3056 4d52 554e wlcdvjywou0vmrun
000420 5549 4856 7a5a 584a 6661 5751 6752 6c4a uihvzzxjfawqgrlj
000430 5054 5342 685a 4731 7062 6c39 3163 3256 ptsbhzg1pbl91c2v
000440 7949 4664 4952 564a 4649 4856 7a5a 584a yifdirvjfihvzzxj
000450 7559 5731 6c49 4430 674a 3342 7662 476c uyw1lid0gj3bvbgl
000460 6a65 5363 704c 4364 4761 584a 7a64 4735 jescplcdgaxjzdg5
000470 6862 5755 6e4b 5473 3d26 5f5f 5f64 6972 hbwunkts=&___dir
000480 6563 7469 7665 3d65 3374 6962 4739 6a61 ective=e3tibg9ja
000490 7942 3065 5842 6c50 5546 6b62 576c 7561 yb0exblpufkbwlua
0004a0 4852 7462 4339 795a 5842 7663 6e52 6663 hrtbc9yzxbvcnrfc
0004b0 3256 6863 6d4e 6f58 3264 7961 5751 6762 2vhcmnox2dyawqgb
0004c0 3356 3063 4856 3050 5764 6c64 454e 7a64 3v0chv0pwdldenzd
0004d0 6b5a 7062 4756 3966 513d 3d26 666f 7277 kzpbgv9fq==&forw
0004e0 6172 6465 643d 3126 arded=1&
==pcap 1 hex e==
[[3 of 4 events not shown due to space constraints]]
take action

ticket action:",ugyothfz ugrmkdhx,33,security incident magento sql injectionsource system whqsm reference company com user location dmz sep sms status field sale yes dsw event log see below the ctoc have least occurrence vid possible mageadminhtmlblockwidgetgridgetcsvfile injection attempt inbound cve alert - isensor device isensplant for traffic not block source port tcp dallas usa destine that occur this indicate external host and possibly other be discover public facing server include vulnerable mageadminhtmlblockwidgetgrid getcsvfile vulnerability describe ticket will effectively serve master any relate until receive feedback how handle these go forward please let know either correspond via delegate back call number option available handling future such one autoresolve directly portal explicit notification report purpose most likely good choice run application target only escalation medium priority phone each unique address may generate relatively large volume full high would recommend since exploit code wild merely identify attack very useful can always list attacker instead audit environment update necessary once complete could with suppress sincerely technical detail exist due insufficient input validation within function remote conduct eusa platform commstorageproduct edition version through enterprise prior controllable supply popularity fieldexpr paramdntyeter when set properly sanitize illegal malicious content store variable use query administrator leverage issue injectncqulao qauighdplicious into affected successful exploitation permit manipulate execute arbitrary command underlying database datum related summary count connection information geolocation destination directionality incoming protocol http method post www url path admin cmswysiwyg directive index time utc action vendor eventid cvss score scwx processing sherlock rule sle inspector ontology type agent classification none acceptpassive impactflag impact vlan mpls label pad sensor src dst sport itype dport icode proto ttl tos iplen dgmlen seq ack edac win tcplen nop pcap httpuri httphost ascii packet pyx apost accept length form urlencode filter wdwxhcml evtmcm txt wjnbvchvsyxjpdhlbdg dptmmcg evtmawvszf lehbyxt wktttrvqgqfnbtfqgpsancnano nfvcbaueftuya ienptknbvchnrduoq fukcbau fmvcasicd wzwsnkerplcbdt dqvqojzonlcbau fmvcapktttruxfq qgqevyvfjbido bwchlehryyskgrljptsbhzg pbl vyifdirvjfigv dhjhieltie pvcbovuxmo lou vsvcbjtlrpigbhzg vyycaoygzpcnn bmftzwasigbsyxn bmftzwasygvtywlsycxgdxnlcm hbwvglgbwyxnzd yzgasygnyzwf zwrglgbsb dudfrtglgbyzwxvywrfywnsx zsywdglgbpc rpdmvglgblehryywasyhjwx rva vuycxgcnbfdg rzw jlyxrlzf hdgapifzbtfvfuyaoj zpcnn bmftzscsj xhc ruyw ljywnc vjdxjpdhlabwfnzw nvbw lcmnllmnvbscsj bvbgljescsqfbbu mstk xkcksmcwwldesqevyvfjble vtewsie pvygpkttjtlnfulqgsu utybgywrtaw fcm szwagkhbhcmvudf pzcx cmvlx xldmvslhnvcnrfb jkzxisupplychain szv exbllhvzzxjfawqsupplychain uyw lksbwquxvrvmgkdesmiwwlcdvjywou vmrunuihvzzxjfawqgrljptsbhzg vyifdirvjfihvzzxjuyw lid bvbgljescplcdgaxjzdg hbwunkts tibg jayb exblpufkbwluahrtbc yzxbvcnrfc vhcmnox dyawqgb chv pwdldenzdkzpbgv forwarded hex dac min ype urle ncode evt mcm wjnbvchv syxjpdhlbdg dptm mcg sid mawvszf wktttrvqgqfnbtfq gpsancnano nfvcb aueftuya ienptkn bvchnrduoq ukcbau wzwsnkerplcb dqvqojzonlcb fmvcapktttrux bwchlehryysk grljptsbhzg pvcb ovuxmo vsvcb jtlrpigbhzg bmftzwasygvtywl sycxgdxnlcm hbwv glgbwyxnzd yzga sygnyzwf zwrglgb dudfrtglgbyzwx vywrfywnsx zsywd glgbpc rpdmv glgblehryywasyhj vuycxgcnb fdg jlyxr lzf hdgapifzbtfv fuyaoj bmf tzscsj vjdxjpdhl abwfnzw vbgljescsqfbbu stk xkcksmcwwlde sqevyvfjble vtew sie pvygpkttjtln fulqgsu utybgywr taw szwagkhb hcmvudf cmv xldmvslhnvcnr exbllhvzzxjfawq supplychain lksb wquxvrvmgkdesmiw wlcdvjywou vmrun uihvzzxjfawqgrlj ptsbhzg yifdirvjfihvzzxj bvbgl jescplcdgaxjzdg dir ective exblpufkbwlua hrtbc pwdldenzd kzpbgv forw arde show space constraint take
